REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2020/12/01 00:30:00,867.63,38.34,TRADE
TAS1,2020/12/01 01:00:00,868.69,38.14,TRADE
TAS1,2020/12/01 01:30:00,864.06,33.72,TRADE
TAS1,2020/12/01 02:00:00,852.23,32.32,TRADE
TAS1,2020/12/01 02:30:00,863,34.25,TRADE
TAS1,2020/12/01 03:00:00,854.32,25.58,TRADE
TAS1,2020/12/01 03:30:00,845.9,33.98,TRADE
TAS1,2020/12/01 04:00:00,880.57,36.15,TRADE
TAS1,2020/12/01 04:30:00,887.27,37.42,TRADE
TAS1,2020/12/01 05:00:00,914.42,42.01,TRADE
TAS1,2020/12/01 05:30:00,976.83,49.86,TRADE
TAS1,2020/12/01 06:00:00,1021.02,36.51,TRADE
TAS1,2020/12/01 06:30:00,1069.4,23.87,TRADE
TAS1,2020/12/01 07:00:00,1118.6,42.84,TRADE
TAS1,2020/12/01 07:30:00,1115.69,96.86,TRADE
TAS1,2020/12/01 08:00:00,1116.93,157.03,TRADE
TAS1,2020/12/01 08:30:00,1092.02,80.33,TRADE
TAS1,2020/12/01 09:00:00,1070.53,80.32,TRADE
TAS1,2020/12/01 09:30:00,1078.56,80.29,TRADE
TAS1,2020/12/01 10:00:00,1046.89,37.63,TRADE
TAS1,2020/12/01 10:30:00,1013.94,63.08,TRADE
TAS1,2020/12/01 11:00:00,962.73,52.67,TRADE
TAS1,2020/12/01 11:30:00,964.03,38.63,TRADE
TAS1,2020/12/01 12:00:00,966.33,19.82,TRADE
TAS1,2020/12/01 12:30:00,974.94,30.63,TRADE
TAS1,2020/12/01 13:00:00,999.47,21.72,TRADE
TAS1,2020/12/01 13:30:00,987.62,19.13,TRADE
TAS1,2020/12/01 14:00:00,991.7,-13.62,TRADE
TAS1,2020/12/01 14:30:00,983.68,8.44,TRADE
TAS1,2020/12/01 15:00:00,975.64,5.30,TRADE
TAS1,2020/12/01 15:30:00,964.57,-15.32,TRADE
TAS1,2020/12/01 16:00:00,946.87,-8.66,TRADE
TAS1,2020/12/01 16:30:00,999.66,27.13,TRADE
TAS1,2020/12/01 17:00:00,1006.48,71.68,TRADE
TAS1,2020/12/01 17:30:00,1016.4,47.32,TRADE
TAS1,2020/12/01 18:00:00,1041.84,37.19,TRADE
TAS1,2020/12/01 18:30:00,1032.26,39.83,TRADE
TAS1,2020/12/01 19:00:00,1030.93,37.10,TRADE
TAS1,2020/12/01 19:30:00,999.39,26.62,TRADE
TAS1,2020/12/01 20:00:00,1052.21,39.38,TRADE
TAS1,2020/12/01 20:30:00,1063.91,37.76,TRADE
TAS1,2020/12/01 21:00:00,992.78,36.66,TRADE
TAS1,2020/12/01 21:30:00,965.06,41.12,TRADE
TAS1,2020/12/01 22:00:00,941.94,31.70,TRADE
TAS1,2020/12/01 22:30:00,973.59,116.78,TRADE
TAS1,2020/12/01 23:00:00,874.02,17.59,TRADE
TAS1,2020/12/01 23:30:00,868.19,32.44,TRADE
TAS1,2020/12/02 00:00:00,851.82,37.91,TRADE
TAS1,2020/12/02 00:30:00,839.14,20,TRADE
TAS1,2020/12/02 01:00:00,824.82,14.39,TRADE
TAS1,2020/12/02 01:30:00,865.23,38.95,TRADE
TAS1,2020/12/02 02:00:00,863.52,21.50,TRADE
TAS1,2020/12/02 02:30:00,840.72,15.93,TRADE
TAS1,2020/12/02 03:00:00,892.23,42.63,TRADE
TAS1,2020/12/02 03:30:00,855.28,21.89,TRADE
TAS1,2020/12/02 04:00:00,848.52,33.39,TRADE
TAS1,2020/12/02 04:30:00,881.94,41.69,TRADE
TAS1,2020/12/02 05:00:00,913.41,35.49,TRADE
TAS1,2020/12/02 05:30:00,992.47,45.15,TRADE
TAS1,2020/12/02 06:00:00,1047.62,50.10,TRADE
TAS1,2020/12/02 06:30:00,1094.38,50.20,TRADE
TAS1,2020/12/02 07:00:00,1110.71,45.73,TRADE
TAS1,2020/12/02 07:30:00,1077.1,32.64,TRADE
TAS1,2020/12/02 08:00:00,1024.93,27.74,TRADE
TAS1,2020/12/02 08:30:00,960.52,110.38,TRADE
TAS1,2020/12/02 09:00:00,961.22,46.70,TRADE
TAS1,2020/12/02 09:30:00,941.76,35.47,TRADE
TAS1,2020/12/02 10:00:00,890.01,36.11,TRADE
TAS1,2020/12/02 10:30:00,895.07,35.54,TRADE
TAS1,2020/12/02 11:00:00,895.96,36.47,TRADE
TAS1,2020/12/02 11:30:00,891.03,38.02,TRADE
TAS1,2020/12/02 12:00:00,889.3,37.03,TRADE
TAS1,2020/12/02 12:30:00,895.23,37.29,TRADE
TAS1,2020/12/02 13:00:00,894.56,37.32,TRADE
